epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1302.53,0.72183,0.54398,0.98964,0.95491,0.97984,0.97517,0.84642,0.58295,0.41101,0.9249,0.000990365,0.000990365,0.000990365
43,1324.85,0.71623,0.54205,0.98583,0.95579,0.95752,0.97723,0.84328,0.57325,0.44679,0.91909,0.000973861,0.000973861,0.000973861
44,1347.49,0.70881,0.53465,0.98514,0.95257,0.96554,0.98061,0.85781,0.55165,0.40748,0.91486,0.000957358,0.000957358,0.000957358
45,1370.46,0.71686,0.54534,0.98801,0.96995,0.97984,0.97132,0.83002,0.58355,0.40842,0.93137,0.000940855,0.000940855,0.000940855
46,1393.4,0.70856,0.53107,0.98292,0.95112,0.97227,0.97661,0.8489,0.59331,0.41627,0.92176,0.000924352,0.000924352,0.000924352
47,1416.47,0.69656,0.51755,0.97605,0.97064,0.97682,0.98136,0.85451,0.5712,0.39101,0.92509,0.000907848,0.000907848,0.000907848
48,1438.79,0.71913,0.5186,0.9897,0.96226,0.97264,0.97849,0.85639,0.55594,0.38516,0.91362,0.000891345,0.000891345,0.000891345
49,1461.26,0.69617,0.50511,0.97652,0.97498,0.97394,0.97939,0.85261,0.55625,0.38934,0.91458,0.000874842,0.000874842,0.000874842
50,1483.88,0.69497,0.51437,0.97192,0.95724,0.96902,0.97686,0.85745,0.5551,0.39478,0.90687,0.000858338,0.000858338,0.000858338
51,1506.13,0.69685,0.51793,0.97729,0.96824,0.97249,0.97177,0.84722,0.57039,0.3943,0.90526,0.000841835,0.000841835,0.000841835
52,1528.5,0.68539,0.50511,0.9682,0.96783,0.96671,0.97314,0.83538,0.54989,0.3831,0.91382,0.000825332,0.000825332,0.000825332
53,1551.04,0.67193,0.49452,0.96183,0.96374,0.96338,0.97792,0.855,0.56668,0.3924,0.91856,0.000808828,0.000808828,0.000808828
54,1573.68,0.67269,0.49554,0.95949,0.96832,0.96934,0.96879,0.85626,0.53326,0.39138,0.89652,0.000792325,0.000792325,0.000792325
55,1596.13,0.67169,0.48061,0.96023,0.96465,0.9701,0.96748,0.84867,0.54348,0.39485,0.9076,0.000775822,0.000775822,0.000775822
56,1618.52,0.66224,0.49087,0.95779,0.97554,0.97984,0.97332,0.86341,0.55484,0.37631,0.91572,0.000759318,0.000759318,0.000759318
57,1641.12,0.67574,0.48846,0.96517,0.97201,0.9766,0.97913,0.86694,0.53503,0.36069,0.89602,0.000742815,0.000742815,0.000742815
58,1663.88,0.65759,0.46537,0.95527,0.96932,0.982,0.97826,0.86799,0.54396,0.36242,0.90367,0.000726312,0.000726312,0.000726312
59,1686.57,0.65208,0.45473,0.95999,0.96701,0.97335,0.97113,0.85838,0.53889,0.37214,0.90343,0.000709809,0.000709809,0.000709809
60,1708.91,0.66466,0.47015,0.96133,0.96774,0.96641,0.97739,0.85857,0.5349,0.3685,0.90716,0.000693305,0.000693305,0.000693305
61,1731.26,0.65569,0.45826,0.95558,0.96671,0.9753,0.97258,0.86901,0.51667,0.35526,0.894,0.000676802,0.000676802,0.000676802
62,1753.93,0.64759,0.45232,0.95748,0.9717,0.97495,0.98391,0.86882,0.53391,0.35017,0.90614,0.000660299,0.000660299,0.000660299
63,1776.56,0.65012,0.45086,0.95329,0.97508,0.97312,0.98301,0.87265,0.53713,0.33984,0.88856,0.000643795,0.000643795,0.000643795
64,1798.91,0.6467,0.44333,0.95375,0.96618,0.97792,0.98056,0.87081,0.53132,0.34756,0.89993,0.000627292,0.000627292,0.000627292
65,1820.98,0.64462,0.45806,0.9535,0.97905,0.97568,0.98031,0.86792,0.51436,0.33717,0.88966,0.000610789,0.000610789,0.000610789
66,1843.21,0.62729,0.43326,0.94037,0.96252,0.97378,0.97878,0.86929,0.50273,0.36846,0.88795,0.000594286,0.000594286,0.000594286
67,1865.48,0.63183,0.43737,0.95028,0.97044,0.97047,0.97194,0.86589,0.52154,0.36608,0.8965,0.000577782,0.000577782,0.000577782
68,1887.81,0.62624,0.43977,0.94016,0.97171,0.97312,0.97035,0.85256,0.53341,0.36527,0.904,0.000561279,0.000561279,0.000561279
69,1910.14,0.62715,0.43236,0.94523,0.9709,0.98262,0.97721,0.87311,0.51424,0.34529,0.89492,0.000544776,0.000544776,0.000544776
70,1932.5,0.61803,0.41916,0.93979,0.97106,0.96663,0.97496,0.87033,0.52103,0.36187,0.89339,0.000528272,0.000528272,0.000528272
71,1955.05,0.62004,0.43181,0.94426,0.96939,0.97312,0.97238,0.87635,0.50195,0.35055,0.89093,0.000511769,0.000511769,0.000511769
72,1977.83,0.61094,0.42758,0.94282,0.97096,0.97606,0.97229,0.8566,0.51021,0.34669,0.90298,0.000495266,0.000495266,0.000495266
73,2000.19,0.60097,0.42264,0.93418,0.97257,0.97644,0.9669,0.86389,0.49596,0.35086,0.88766,0.000478762,0.000478762,0.000478762
