epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,893.362,0.72329,0.53272,0.98833,0.96925,0.97247,0.98063,0.84973,0.57673,0.38033,0.92284,0.000990365,0.000990365,0.000990365
43,912.101,0.70888,0.51816,0.97572,0.93502,0.94642,0.97137,0.82235,0.61065,0.45965,0.93341,0.000973861,0.000973861,0.000973861
44,930.647,0.69763,0.50632,0.97762,0.95429,0.95829,0.97901,0.84949,0.57606,0.40019,0.92266,0.000957358,0.000957358,0.000957358
45,948.94,0.69247,0.49631,0.97231,0.96584,0.96892,0.971,0.83395,0.57469,0.40094,0.9153,0.000940855,0.000940855,0.000940855
46,967.365,0.68458,0.48983,0.96359,0.94597,0.9583,0.96514,0.83495,0.56976,0.42074,0.91073,0.000924352,0.000924352,0.000924352
47,985.595,0.69112,0.49015,0.97205,0.96686,0.96401,0.97514,0.86214,0.53717,0.38591,0.90435,0.000907848,0.000907848,0.000907848
48,1004.02,0.68673,0.49165,0.96826,0.94232,0.95995,0.97478,0.85171,0.54873,0.4138,0.90236,0.000891345,0.000891345,0.000891345
49,1022.55,0.67147,0.48193,0.96399,0.9681,0.9723,0.96617,0.84129,0.55414,0.4154,0.91449,0.000874842,0.000874842,0.000874842
50,1041.19,0.67765,0.47965,0.96955,0.96811,0.94646,0.97801,0.84368,0.56689,0.40092,0.9262,0.000858338,0.000858338,0.000858338
51,1059.77,0.67474,0.47662,0.96415,0.9719,0.97449,0.97241,0.8475,0.55464,0.37794,0.90916,0.000841835,0.000841835,0.000841835
52,1078.47,0.66072,0.46882,0.96277,0.95794,0.95202,0.97985,0.85147,0.56307,0.39781,0.90932,0.000825332,0.000825332,0.000825332
53,1097.03,0.65756,0.46222,0.96012,0.96984,0.97485,0.97756,0.85253,0.55281,0.35445,0.90187,0.000808828,0.000808828,0.000808828
54,1115.51,0.66696,0.47757,0.95696,0.95844,0.96567,0.97383,0.84769,0.55481,0.38711,0.90514,0.000792325,0.000792325,0.000792325
55,1133.94,0.64275,0.4503,0.95273,0.96876,0.96391,0.97647,0.84856,0.53628,0.38082,0.90216,0.000775822,0.000775822,0.000775822
56,1157.67,0.64234,0.45537,0.95048,0.96695,0.97473,0.97924,0.86108,0.52313,0.36483,0.90357,0.000759318,0.000759318,0.000759318
57,1176.01,0.6492,0.46013,0.95488,0.97065,0.97189,0.97826,0.85096,0.54536,0.38016,0.8976,0.000742815,0.000742815,0.000742815
58,1194.47,0.6365,0.44699,0.95122,0.97493,0.97923,0.97592,0.86374,0.53501,0.35945,0.89698,0.000726312,0.000726312,0.000726312
59,1213.22,0.63313,0.43831,0.95266,0.96772,0.95491,0.97575,0.85752,0.55614,0.37138,0.91896,0.000709809,0.000709809,0.000709809
60,1231.64,0.62598,0.43479,0.94318,0.9629,0.96887,0.97809,0.86183,0.5475,0.36849,0.89918,0.000693305,0.000693305,0.000693305
61,1250.35,0.62921,0.42767,0.94475,0.96885,0.97668,0.97735,0.86761,0.51908,0.34576,0.89708,0.000676802,0.000676802,0.000676802
62,1269.5,0.6262,0.43008,0.94725,0.96369,0.96498,0.97676,0.8662,0.52952,0.37364,0.89424,0.000660299,0.000660299,0.000660299
63,1288.5,0.63105,0.43442,0.95037,0.95298,0.97818,0.98047,0.8595,0.54967,0.37237,0.9094,0.000643795,0.000643795,0.000643795
64,1307.2,0.63165,0.42883,0.94805,0.96745,0.96811,0.97255,0.86453,0.53034,0.35805,0.89437,0.000627292,0.000627292,0.000627292
65,1325.62,0.61517,0.42166,0.93998,0.97187,0.95712,0.96664,0.8482,0.53638,0.47312,0.89082,0.000610789,0.000610789,0.000610789
66,1343.99,0.61478,0.41153,0.93691,0.96465,0.97573,0.97638,0.86046,0.53544,0.35765,0.90172,0.000594286,0.000594286,0.000594286
67,1362.67,0.61172,0.4179,0.94375,0.96503,0.97224,0.97922,0.872,0.52548,0.35125,0.89864,0.000577782,0.000577782,0.000577782
68,1381.52,0.608,0.42769,0.94224,0.97186,0.94416,0.97886,0.85765,0.5274,0.38281,0.90065,0.000561279,0.000561279,0.000561279
69,1400.44,0.60255,0.41099,0.93966,0.92763,0.97209,0.97642,0.86348,0.53014,0.38779,0.90194,0.000544776,0.000544776,0.000544776
70,1419.07,0.59507,0.3963,0.93191,0.96809,0.95845,0.97803,0.87658,0.50167,0.35675,0.88168,0.000528272,0.000528272,0.000528272
71,1438.11,0.59287,0.40638,0.93368,0.97472,0.95612,0.97587,0.8653,0.51756,0.36662,0.88413,0.000511769,0.000511769,0.000511769
72,1457.48,0.59081,0.39886,0.93149,0.96814,0.96841,0.97743,0.86316,0.51851,0.37021,0.89612,0.000495266,0.000495266,0.000495266
73,1476.15,0.59665,0.39951,0.93576,0.96846,0.9723,0.97802,0.87419,0.51911,0.34423,0.8889,0.000478762,0.000478762,0.000478762
74,1494.32,0.59506,0.3953,0.93638,0.96664,0.96819,0.97696,0.87556,0.49451,0.34581,0.87468,0.000462259,0.000462259,0.000462259
75,1512.73,0.59173,0.3877,0.93082,0.96693,0.9723,0.97772,0.87383,0.52735,0.35623,0.88496,0.000445756,0.000445756,0.000445756
76,1531.32,0.58435,0.3846,0.92984,0.96503,0.96876,0.97765,0.88348,0.4981,0.35141,0.8751,0.000429253,0.000429253,0.000429253
77,1552.27,0.58169,0.38555,0.92614,0.96751,0.9667,0.97782,0.87047,0.52593,0.35309,0.88491,0.000412749,0.000412749,0.000412749
78,1570.48,0.56674,0.37269,0.92,0.96419,0.97169,0.97545,0.87669,0.50778,0.34558,0.8977,0.000396246,0.000396246,0.000396246
79,1588.77,0.56636,0.38592,0.92226,0.96592,0.97492,0.98126,0.88147,0.48295,0.32852,0.88984,0.000379743,0.000379743,0.000379743
80,1607.47,0.5614,0.36774,0.9173,0.96658,0.9718,0.98039,0.87561,0.50394,0.33649,0.89201,0.000363239,0.000363239,0.000363239
81,1626.25,0.56676,0.37441,0.92294,0.97096,0.9484,0.98355,0.88114,0.49884,0.34135,0.89449,0.000346736,0.000346736,0.000346736
82,1644.47,0.56404,0.3842,0.92021,0.96811,0.96586,0.97966,0.88123,0.48756,0.33994,0.88341,0.000330233,0.000330233,0.000330233
83,1662.59,0.55474,0.36337,0.91718,0.96544,0.96443,0.97968,0.88607,0.49534,0.34314,0.88104,0.000313729,0.000313729,0.000313729
84,1681.28,0.54614,0.35781,0.9155,0.96556,0.97523,0.98086,0.88221,0.48828,0.32855,0.87607,0.000297226,0.000297226,0.000297226
85,1699.93,0.54362,0.35906,0.91317,0.95989,0.98118,0.98237,0.8887,0.48564,0.3272,0.87322,0.000280723,0.000280723,0.000280723
86,1718.6,0.54511,0.35467,0.9106,0.96839,0.97128,0.98117,0.88672,0.48367,0.32736,0.88332,0.00026422,0.00026422,0.00026422
87,1736.91,0.54732,0.35696,0.91674,0.96601,0.97793,0.97576,0.88167,0.47276,0.3327,0.87835,0.000247716,0.000247716,0.000247716
88,1755.49,0.54693,0.35306,0.91105,0.96787,0.97008,0.96855,0.86827,0.4849,0.34068,0.87401,0.000231213,0.000231213,0.000231213
89,1774.16,0.53742,0.34406,0.90946,0.96429,0.97187,0.97538,0.8772,0.49482,0.34175,0.88106,0.00021471,0.00021471,0.00021471
90,1792.22,0.52578,0.34903,0.90291,0.96661,0.97157,0.97533,0.88204,0.47479,0.33192,0.87529,0.000198206,0.000198206,0.000198206
91,1843.24,0.45164,0.26079,0.86078,0.96803,0.9723,0.97156,0.886,0.47308,0.33334,0.8729,0.000181703,0.000181703,0.000181703
92,1861.9,0.43437,0.25026,0.84706,0.96855,0.9723,0.97454,0.88786,0.47515,0.34439,0.87342,0.0001652,0.0001652,0.0001652
93,1880.61,0.42864,0.24256,0.847,0.96645,0.9723,0.9778,0.88935,0.47612,0.34067,0.87963,0.000148696,0.000148696,0.000148696
94,1899.14,0.42927,0.24257,0.84674,0.96751,0.96914,0.97947,0.88873,0.47452,0.33349,0.87596,0.000132193,0.000132193,0.000132193
95,1917.85,0.42032,0.24108,0.84518,0.96798,0.97148,0.98136,0.89402,0.4739,0.32989,0.86932,0.00011569,0.00011569,0.00011569
96,1936.31,0.41611,0.2353,0.84295,0.9665,0.9723,0.98128,0.89877,0.46669,0.33205,0.86922,9.91865e-05,9.91865e-05,9.91865e-05
97,1955.01,0.4127,0.23446,0.83979,0.96505,0.97142,0.98125,0.89349,0.47262,0.33126,0.87504,8.26832e-05,8.26832e-05,8.26832e-05
98,1973.51,0.40739,0.2272,0.8411,0.96418,0.9713,0.98105,0.89682,0.46772,0.33537,0.87066,6.61799e-05,6.61799e-05,6.61799e-05
99,1995.32,0.40614,0.22953,0.84006,0.96849,0.97205,0.97983,0.89773,0.46819,0.33923,0.86891,4.96766e-05,4.96766e-05,4.96766e-05
100,2018.21,0.39982,0.22867,0.838,0.96792,0.9723,0.98047,0.90191,0.46647,0.33526,0.87057,3.31733e-05,3.31733e-05,3.31733e-05
